run_id,exp_name,model_type,timestamp,n_features,train_mae_1d,train_mae_2d,train_mae_3d,train_mae_4d,train_mae_5d,train_mae_6d,train_mae_7d,train_mae_8d,train_mae_9d,train_mae_10d,train_mae_11d,train_mae_12d,train_mae_13d,train_mae_14d,train_mae_15d,train_mae_16d,train_mae_17d,train_mae_18d,train_mae_19d,train_mae_20d,train_mae_mean,val_mae_1d,val_mae_2d,val_mae_3d,val_mae_4d,val_mae_5d,val_mae_6d,val_mae_7d,val_mae_8d,val_mae_9d,val_mae_10d,val_mae_11d,val_mae_12d,val_mae_13d,val_mae_14d,val_mae_15d,val_mae_16d,val_mae_17d,val_mae_18d,val_mae_19d,val_mae_20d,val_mae_mean,test_mae_1d,test_mae_2d,test_mae_3d,test_mae_4d,test_mae_5d,test_mae_6d,test_mae_7d,test_mae_8d,test_mae_9d,test_mae_10d,test_mae_11d,test_mae_12d,test_mae_13d,test_mae_14d,test_mae_15d,test_mae_16d,test_mae_17d,test_mae_18d,test_mae_19d,test_mae_20d,test_mae_mean
2025-10-04_17-33-56_lgbm_20_horizons,lgbm_20_horizons,lightgbm,2025-10-04_17-33-56,43,0.011955032896971493,0.01692926563982237,0.020777380670206888,0.023736098031829345,0.02583489022069761,0.02869452856646238,0.03112460288542893,0.032784455719080535,0.03460868682542163,0.03649791421600102,0.037992789741493976,0.038862431302670544,0.04006922794630607,0.04153103428033491,0.04249820504930501,0.044609666047018194,0.045607441360132436,0.0473139860124155,0.04777902835206794,0.04900955818585165,0.034910811197475924,0.012569734388517809,0.01817612186166013,0.022496083832817308,0.026676333556926154,0.030907888393765338,0.03402070620502447,0.037687241044290436,0.041074096353068364,0.04355954145092442,0.04738821105061496,0.05057348444584927,0.05222069401777424,0.055531627622494126,0.05668713574547299,0.05896478524293536,0.06105860345361752,0.06352023138676165,0.0652728657733613,0.0674984691140379,0.06951532372916545,0.04576995893345396,0.01688497699524355,0.02422451966017743,0.029712422745307273,0.03536319980359618,0.04071640491345049,0.04478062240079746,0.04906369692553108,0.05363172313361287,0.05659902192956651,0.05906160459014587,0.06175360481477857,0.0646847465868954,0.06725047982318277,0.06865982352672254,0.0713983900342191,0.07269406226631708,0.0756496677997436,0.0777212142554556,0.07968306066448484,0.08212562915445945,0.05658294360118439
2025-10-04_20-22-44_momentum_baseline,momentum_baseline,momentum,2025-10-04_20-22-44,43,0.01813611383452678,0.024492084171681403,0.02982957015918084,0.0343413818546311,0.03852725075216227,0.042741222168964664,0.04690406117537454,0.05059891825821486,0.05393873048195414,0.05690959014179071,0.06001505876120261,0.0628681866616857,0.06564731000882233,0.06849892299121053,0.0712344114718202,0.0740320698650487,0.07675586706337612,0.07934031226357488,0.08173889108364954,0.08398840720205682,0.056026918018546444,0.015097008918167027,0.020387819435635494,0.024122397261292446,0.027765628290360028,0.031251234453011104,0.034962023007612496,0.03845620097867101,0.04153748959354113,0.044710163288011376,0.04731406388926652,0.05006143063662721,0.05243589037279996,0.054271310843615535,0.05615454217109535,0.058045167727690986,0.06000896256078621,0.06215828951079469,0.06380142314903452,0.06604068411792283,0.06864688805926036,0.04586143091325982,0.020420103888094635,0.02710279051239765,0.03259734920912463,0.03858235347472915,0.04405845098135689,0.04885418297545046,0.05334657324611925,0.05770418037856763,0.06149711303741996,0.06489405733389483,0.06793722680071251,0.07107890225382568,0.07355441560639346,0.07554466861055036,0.07791118008205992,0.08060159457357317,0.08271414370649918,0.08550617621162994,0.08882960752801154,0.09216881846726664,0.06224519444388388
2025-10-04_22-09-04_momentum_baseline,momentum_baseline,momentum,2025-10-04_22-09-04,57,0.01813611383452678,0.024492084171681403,0.02982957015918084,0.0343413818546311,0.03852725075216227,0.042741222168964664,0.04690406117537454,0.05059891825821486,0.05393873048195414,0.05690959014179071,0.06001505876120261,0.0628681866616857,0.06564731000882233,0.06849892299121053,0.0712344114718202,0.0740320698650487,0.07675586706337612,0.07934031226357488,0.08173889108364954,0.08398840720205682,0.056026918018546444,0.015097008918167027,0.020387819435635494,0.024122397261292446,0.027765628290360028,0.031251234453011104,0.034962023007612496,0.03845620097867101,0.04153748959354113,0.044710163288011376,0.04731406388926652,0.05006143063662721,0.05243589037279996,0.054271310843615535,0.05615454217109535,0.058045167727690986,0.06000896256078621,0.06215828951079469,0.06380142314903452,0.06604068411792283,0.06864688805926036,0.04586143091325982,0.020420103888094635,0.02710279051239765,0.03259734920912463,0.03858235347472915,0.04405845098135689,0.04885418297545046,0.05334657324611925,0.05770418037856763,0.06149711303741996,0.06489405733389483,0.06793722680071251,0.07107890225382568,0.07355441560639346,0.07554466861055036,0.07791118008205992,0.08060159457357317,0.08271414370649918,0.08550617621162994,0.08882960752801154,0.09216881846726664,0.06224519444388388
2025-10-04_19-17-32_lgbm_with_news,lgbm_with_news,lightgbm,2025-10-04_19-17-32,43,0.01125205921030613,0.0156767637961026,0.01899629589738207,0.021626158088690794,0.023318050814423345,0.025960701138580917,0.027768139121341455,0.029613176685357248,0.03110879749479455,0.032796457521063326,0.03423244126720765,0.034943312923450646,0.03565215255118292,0.03668239074122973,0.03781291961493867,0.03923904700045497,0.040406236138231105,0.04165150689980659,0.042009772609065625,0.04265322956195114,0.031169980453778074,0.012620055356963582,0.018235590559308686,0.022621443655365822,0.026948525846256562,0.031043962149742525,0.03415044127049072,0.03797100548250211,0.04130435455926946,0.04397168739964575,0.047523671493359725,0.05102939970148959,0.05264963531921333,0.05578610070032723,0.05712704108240653,0.05895064637737545,0.06118800469526303,0.06380172017123677,0.06529964832106877,0.06792005282237616,0.07029561565669441,0.04602193013101781,0.016961159541774833,0.02427295423892728,0.029812252406681675,0.03544115120113154,0.0408835857485291,0.044881538395031034,0.049227015041691746,0.05376207809961542,0.0567958555868002,0.05940911033470813,0.062194690339653504,0.06483077240480918,0.06750538949457682,0.06932039433462735,0.07132120563544227,0.07335863433917075,0.07573948866135352,0.07786319557999599,0.07982636695273534,0.0823701906331967,0.056788851448522616
2025-10-04_22-52-05_my_experiment,my_experiment,lightgbm,2025-10-04_22-52-05,57,0.011845215228996366,0.016676682561461632,0.01999268977257678,0.022806996075391273,0.024839369019226957,0.026876581636330072,0.029033444649441,0.030462320235160576,0.03222727321690945,0.033778703833461134,0.03503880416074466,0.03627624987622563,0.0373465370583447,0.03803457751379296,0.03919479994988331,0.04037745562021837,0.04127903065436585,0.041989816306761796,0.042991410330217514,0.04355830581865073,0.032231313175908036,0.013998055122549195,0.02045329595518847,0.02545752864275648,0.030223648829436636,0.03462074222770566,0.039112467469734895,0.042603524954710426,0.04599174195292338,0.048724657966975955,0.05117280570133663,0.05287276625415076,0.05505992788880016,0.056517553252069905,0.05771440786058487,0.05922791647000738,0.06096047614831316,0.06319719058536657,0.06496407007386025,0.06707421049640522,0.06963701879378897,0.04797920033233325,0.01697859356530557,0.023943219025565617,0.029431742697835148,0.03537967752423733,0.04004509452962461,0.04386341100134596,0.04780034110242708,0.05176061199777731,0.05507332753541561,0.05806884242431594,0.0610104873154597,0.06423500179600337,0.06664066939080121,0.0691026354181743,0.07239620683728996,0.07545080485202678,0.07751330581538969,0.08089236304481848,0.08449296336735536,0.087204550185245,0.057064192471320704
2025-10-05_02-37-32_very_final,very_final,lightgbm,2025-10-05_02-37-32,50,0.009945703525857075,0.013192474916570373,0.015274745264294546,0.017480592882981292,0.019569972614060172,0.021495252029575692,0.022666596233375597,0.023932504590632793,0.025089797492305506,0.025531620291984698,0.02540085159875327,0.02666130891907894,0.02695980029519261,0.027196971838447735,0.02784094156856931,0.027874402972375097,0.029460445210861514,0.031313677065092506,0.03070938215866216,0.03159207998312892,0.023959456072589987,0.01958316018386802,0.027355173094369706,0.03273006150556907,0.03701819755654889,0.04344337294418602,0.046954524127047044,0.04958940199443366,0.0521465658277422,0.05328353096283197,0.05557840985150413,0.05527760526756207,0.05776700122886919,0.058769566348411455,0.05693699716242788,0.05652479297558681,0.06016962960799892,0.058502524048299406,0.0613095716320695,0.06066723628955732,0.06292544336515207,0.050326638298701765,0.013729957237321481,0.019412617555644794,0.02343952696299104,0.027279393300681683,0.027811722788362653,0.029158448552611963,0.032065247178037284,0.0337022435252985,0.035596754726229765,0.038251438828628026,0.03800548237066805,0.03912047616883874,0.041669065507636764,0.0427238248545363,0.04593678118410429,0.05069584992291,0.04939808732390612,0.05250376657273478,0.054765996629323924,0.056828792402740226,0.03760477367966032
2025-10-05_02-13-25_final_2_2024,final_2_2024,lightgbm,2025-10-05_02-13-25,50,0.009876816946132499,0.013021925327974911,0.014845914123943402,0.01671856371543335,0.017946605765409584,0.020209441215878678,0.02061217962359323,0.021806899818111285,0.022265606987079852,0.02303487466572742,0.023330781143526158,0.024025178726235566,0.024709335340472986,0.025488308026735972,0.026012673476692935,0.026092666207941054,0.026225619065234157,0.027925141780945864,0.029198979433083146,0.029784588860538388,0.022156605012534518,0.01703409264258076,0.024100771688558013,0.028428308127069483,0.03415649274387951,0.040849174987028905,0.04598161538174845,0.05048280209664658,0.05377443876998322,0.05786796509614209,0.06171055844340486,0.06630719521814203,0.07038814952205487,0.07434845101465379,0.07735613802133573,0.08084338760174697,0.08575393145767866,0.09004863705797714,0.09793773941623539,0.10047699850342448,0.1031247008476617,0.06304857743189762,0.014976323485863384,0.020704728270030604,0.025161471563398,0.030252750827309494,0.03250615466235338,0.035526706765589,0.03852891421787364,0.04104734131027456,0.04270721262802185,0.04478393978148163,0.047788084084727234,0.052953701388583005,0.056081065677035295,0.061335337315428146,0.0655829098379534,0.07042515185095789,0.07380262395937384,0.07783431867005476,0.08067009662355967,0.08564595981520179,0.04991573963675352
2025-10-05_02-26-27_final_2_2025_2,final_2_2025_2,lightgbm,2025-10-05_02-26-27,50,0.009273113755604611,0.011507706113032356,0.012726396482675385,0.014633929685661592,0.015223130292960307,0.015738447816576927,0.016334251145012715,0.017002398798904566,0.017522393205720778,0.01758493457427002,0.018520381334575828,0.0186430875781441,0.019537951247565695,0.0195480384734323,0.019800325451117616,0.019166950118071912,0.01804854613109934,0.018457816172449314,0.01899089413165644,0.01808533868814574,0.016817301559833873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-05_02-42-08_very_final_2,very_final_2,lightgbm,2025-10-05_02-42-08,50,0.009273113755604611,0.011507706113032356,0.012726396482675385,0.014633929685661592,0.015223130292960307,0.015738447816576927,0.016334251145012715,0.017002398798904566,0.017522393205720778,0.01758493457427002,0.018520381334575828,0.0186430875781441,0.019537951247565695,0.0195480384734323,0.019800325451117616,0.019166950118071912,0.01804854613109934,0.018457816172449314,0.01899089413165644,0.01808533868814574,0.016817301559833873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latest,very_final_2,lightgbm,2025-10-05_02-42-08,50,0.009273113755604611,0.011507706113032356,0.012726396482675385,0.014633929685661592,0.015223130292960307,0.015738447816576927,0.016334251145012715,0.017002398798904566,0.017522393205720778,0.01758493457427002,0.018520381334575828,0.0186430875781441,0.019537951247565695,0.0195480384734323,0.019800325451117616,0.019166950118071912,0.01804854613109934,0.018457816172449314,0.01899089413165644,0.01808533868814574,0.016817301559833873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
